id,inventory_category_list,status,created_by,created_at,edited_by,edited_at,parent_id,type,sub_parent_id,modified_at
71,"Camera Lenses thin and thik ",1,02-2014,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
70,"Digital Camera New Version",1,02-0501,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
69,"Digital Camera New Version",1,02-0501,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
68,"HDD Problem",1,02-0501,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
67,"new category",1,02-0501,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
66,"Digital Camera Version-1",1,02-0501,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
65,"Digital Camera Version-1",1,02-0501,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
64,"New Item Test",1,02-0501,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
63,"Test Purpose",1,02-0501,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
62,"Touch Laptop",1,02-0501,"2025-08-05 11:09:39",02-0501,"2025-08-05 11:09:39",0,category,0,"0000-00-00 00:00:00"
61,"barcode reader",1,02-0007,"2025-09-30 10:43:51",02-0501,"2025-09-30 10:43:51",0,category,0,"2025-09-30 10:40:33"
60,"Driver set",1,02-0467,"2025-08-03 10:30:18",02-0467,"2022-10-23 05:17:54",0,category,0,"0000-00-00 00:00:00"
59,"DVD Drive",1,02-0467,"2025-08-03 10:30:18",02-0467,"2022-09-27 04:18:29",0,category,0,"0000-00-00 00:00:00"
58,"Desktop (DOWT)",1,02-0467,"2025-08-10 17:08:55",02-0501,"2025-08-10 17:08:55",0,category,0,"0000-00-00 00:00:00"
57,"Door access device",1,02-0467,"2025-08-03 10:30:18",02-0467,"2022-09-27 04:29:56",0,category,0,"0000-00-00 00:00:00"
56,Printer-Label,1,02-0467,"2025-08-03 10:30:18",02-0467,"2022-09-27 04:38:59",0,category,0,"0000-00-00 00:00:00"
55,"Barcode Scanner",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
54,"LAN Card PCIe",1,02-0467,"2025-08-25 09:09:20",02-2014,"2025-08-25 09:09:20",0,category,0,"0000-00-00 00:00:00"
53,PenDrive,1,02-0467,"2025-08-11 14:23:17",02-0501,"2025-08-11 14:23:17",0,category,0,"0000-00-00 00:00:00"
52,RAM-Desktop,1,02-0467,"2025-08-10 14:56:33",02-0501,"2025-08-10 14:56:33",0,category,0,"0000-00-00 00:00:00"
51,"Laptop Display",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
50,Printer-Laser,1,02-0467,"2025-08-19 10:47:13",02-0501,"2025-08-12 12:48:54",0,category,0,"2025-08-19 10:47:13"
49,"Laptop Bag",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
48,Tools,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
47,Server,1,02-0467,"2025-08-11 14:30:01",02-0501,"2025-08-11 14:30:01",0,category,0,"0000-00-00 00:00:00"
46,"Digital Camera",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
45,MACBOOK,1,02-0467,"2025-08-03 10:31:21",02-0501,"2025-08-03 10:31:21",0,category,0,"0000-00-00 00:00:00"
44,"Wireless Presenter",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
43,TV,1,02-0467,"2025-08-03 10:31:44",02-0501,"2025-08-03 10:31:44",0,category,0,"0000-00-00 00:00:00"
42,"Cable Tester",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
41,"Laptop (DOWT)",1,02-0467,"2025-09-17 10:58:51",02-0501,"2025-09-17 10:58:51",0,category,0,"2025-08-24 13:13:27"
40,"Ethernet Adapter",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
39,"HDD Laptop",1,02-0467,"2025-08-11 14:25:26",02-0501,"2025-08-11 14:24:20",0,category,0,"2025-08-11 14:25:26"
38,"Network Switch",1,02-0467,"2025-09-03 13:28:46",02-2014,"2025-09-03 13:28:46",0,category,0,"0000-00-00 00:00:00"
37,"HDMI Cable",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
36,"IP Phone",1,02-0467,"2025-08-04 14:58:24",02-0501,"2025-08-04 14:58:24",0,category,0,"0000-00-00 00:00:00"
35,"Screw Driver",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
34,Printer-Color,1,02-0467,"2025-08-19 10:30:00",null,"0000-00-00 00:00:00",0,category,0,"2025-08-19 10:30:00"
33,"Test Device",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
32,Scanner,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
31,"HDD Portable",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
30,Headphone,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
29,"UPS Battery",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
28,"CCTV NVR",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
27,"Video Conference Set",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
26,Plotter,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
25,"DSLR Camera",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
24,Mobile,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
23,Desktop-DC3,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
22,iMac,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
21,Monitor,1,02-0467,"2025-09-10 12:58:31",02-0501,"2025-09-10 12:58:31",0,category,0,"0000-00-00 00:00:00"
20,"HDD Desktop",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
19,Desktop-DC2,1,02-0467,"2025-08-18 14:24:47",null,"0000-00-00 00:00:00",0,category,0,"2025-08-18 14:24:47"
18,Laptop-LC3,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
17,SSD,1,02-0467,"2025-09-10 11:37:02",02-0501,"2025-09-10 11:37:02",0,category,0,"0000-00-00 00:00:00"
16,"Exit Reader",1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
15,UPS,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
14,Converter,1,02-0467,"2025-08-03 10:30:18",null,"0000-00-00 00:00:00",0,category,0,"0000-00-00 00:00:00"
