"id","category","tt_no","employee_id","reason_details","status","created_by","created_at","approved_val","approved_by","approved_date","edited_by","edited_at","device_sl_no","delivered_val","delivered_by","delivered_date","dev_assigned_val","dev_assinged_by","dev_assigned_date","trouble_ticket_id"
65,"Laptop Battery","2025031126685","02-1749","The Laptop battery life time is very low. Given backup less then 1 hour. No warranty available. we need to replace the battery.",1,"02-2248","2025-04-07 14:38:26+06",1,"02-0186","2025-04-13 12:13:56+06",NULL,NULL,"G7Y1HJ3",1,"02-2181","2025-05-21 11:54:48+06",1,"02-2181","2025-05-21 11:58:12+06",26498
64,"Laptop-LC2","2025040726812","02-2272","Laptop display resolution problem. Display blink continuously it also has sound related problem. 
Need emergency service. Seeking approval urgent.",1,"02-2297","2025-04-07 09:45:45+06",1,"02-0186","2025-04-13 12:14:26+06",NULL,NULL,"5F1YGJ3",2,"02-2014","2025-07-24 12:08:06+06",0,NULL,NULL,26625
63,"Laptop Adapter","2025040726811","02-1082","need a adapter",1,"02-2181","2025-04-07 08:58:36+06",1,"02-0186","2025-04-13 12:14:29+06",NULL,NULL,"K2202N0108553",1,"02-2181","2025-04-15 11:56:24+06",0,NULL,NULL,26624
62,"Laptop Battery","2025040426786","02-0821","need a battery",1,"02-2181","2025-04-06 16:36:53+06",1,"02-0186","2025-04-13 12:14:33+06",NULL,NULL,"F4X0HJ3",1,"02-2181","2025-07-27 11:03:30+06",0,NULL,NULL,26599
61,"Mouse","2025031926739","02-2282","need a mouse.",1,"02-2181","2025-03-19 10:19:52+06",1,"02-0186","2025-04-16 11:41:20+06",NULL,NULL,NULL,1,"02-2181","2025-05-06 12:21:15+06",1,"02-2181","2025-05-06 12:24:38+06",26552
60,"Mouse","2025022426516","02-2634","need a USB Mouse.
",1,"02-2181","2025-03-18 09:10:38+06",1,"02-0186","2025-04-13 12:14:17+06",NULL,NULL,NULL,1,"02-2181","2025-04-16 16:10:01+06",1,"02-2181","2025-04-16 16:12:42+06",26329
59,"UPS Battery","2025031326707","02-2307","need 2pcs UPS battery.
",1,"02-2181","2025-03-17 12:50:51+06",1,"02-0186","2025-04-13 12:14:20+06",NULL,NULL,NULL,1,"02-2181","2025-08-11 12:19:46+06",0,NULL,NULL,26520
58,"Mouse","2025031626713","02-0383","need a USB mouse.",1,"02-2181","2025-03-17 12:48:44+06",1,"02-0186","2025-04-13 12:14:23+06",NULL,NULL,NULL,1,"02-2181","2025-04-16 16:20:00+06",1,"02-2181","2025-04-16 16:22:38+06",26526
57,"Mouse","2025031726727","02-1598","need a mouse.(reference AGM sir)",1,"02-2181","2025-03-17 11:41:02+06",1,"02-0186","2025-03-17 12:27:52+06",NULL,NULL,NULL,1,"02-2181","2025-04-06 10:14:50+06",0,NULL,NULL,26540
56,"SSD","2025020526315","02-1504","Existing SSD got faulty. Requesting to purchase a SSD emergency.",1,"02-2297","2025-03-17 11:11:08+06",1,"02-0186","2025-03-17 12:28:04+06",NULL,NULL,"K2110N0193933",1,"02-2181","2025-07-27 11:02:45+06",0,NULL,NULL,26128
55,"Mouse","2025022626542","02-2638","NEED A MOUSE",1,"02-2181","2025-03-17 11:09:36+06",1,"02-0186","2025-03-17 12:28:08+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:54:09+06",0,NULL,NULL,26355
54,"Mouse","2025030226582","02-2033","need a mouse.",1,"02-2181","2025-03-17 10:50:37+06",1,"02-0186","2025-03-17 12:28:15+06",NULL,NULL,NULL,1,"02-2181","2025-05-05 08:42:21+06",1,"02-2181","2025-05-05 08:44:07+06",26395
53,"Laptop Adapter","2025031726721","02-0950","Laptop adapter is not working. Adapter got faulty. Seeking your approval to buy it via Petty cash.",1,"02-2297","2025-03-17 09:35:12+06",1,"02-0186","2025-03-17 12:28:19+06",NULL,NULL,"K2202N0108463",1,"02-2181","2025-07-27 11:02:25+06",0,NULL,NULL,26534
52,"UPS Battery","2025020626331","02-1020","need 2pcs UPS Battery",1,"02-2181","2025-03-16 13:27:33+06",1,"02-0186","2025-03-16 13:45:39+06",NULL,NULL,NULL,1,"02-2181","2025-03-18 09:30:16+06",1,"02-2181","2025-03-18 09:33:31+06",26144
51,"Laptop Battery","2025031226694","02-2035","Battery Backup only 45 min, Need to purchase new one",1,"02-2014","2025-03-12 10:08:40+06",1,"02-0186","2025-03-12 11:20:22+06",NULL,NULL,"CNN0P93",1,"02-2181","2025-05-21 09:44:59+06",1,"02-2181","2025-05-21 10:00:25+06",26507
50,"RAM-Laptop","2025031226692","02-2035","RAM shows 90% full without any load. We need to install additional RAM, we will deliver from our stock.",1,"02-2014","2025-03-12 09:52:16+06",1,"02-0186","2025-03-12 09:53:49+06",NULL,NULL,"CNN0P93",1,"02-2014","2025-03-12 09:58:49+06",1,"02-2014","2025-03-12 10:22:32+06",26505
49,"Mouse","2025031126683","02-0166","need an mouse.",1,"02-2181","2025-03-11 11:24:08+06",1,"02-0007","2025-03-11 11:25:14+06",NULL,NULL,NULL,1,"02-2181","2025-04-06 10:18:50+06",0,NULL,NULL,26496
48,"Mouse","2025030626650","02-0017","The mouse has already delivered instructions from the manager.",1,"02-2181","2025-03-11 11:15:20+06",1,"02-0007","2025-03-11 11:25:18+06",NULL,NULL,NULL,1,"02-2181","2025-07-21 11:53:44+06",0,NULL,NULL,26463
47,"Wireless Router","2025011326115","02-1161","Need WIFI router at Nator OC",1,"02-2014","2025-03-11 09:41:07+06",2,"02-0007","2025-03-11 11:25:30+06",NULL,NULL,NULL,0,NULL,NULL,0,NULL,NULL,25928
