"id","username","employee_id","user_type","role_code","legacy_user_type"
5,"sofiqul","02-2900",3,"GENERAL_USER",3
6,"mashudhul","02-2898",3,"GENERAL_USER",3
7,"rafi","02-2897",3,"GENERAL_USER",3
8,"m.sagor","02-2887",3,"GENERAL_USER",3
9,"asma","02-2896",3,"GENERAL_USER",3
10,"akhtaruzzaman","02-2895",3,"GENERAL_USER",3
11,"suman.sheikh","02-2894",3,"GENERAL_USER",3
12,"riadul","02-2893",3,"GENERAL_USER",3
13,"naiem.sikder","02-2892",3,"GENERAL_USER",3
14,"jahir","02-2891",3,"GENERAL_USER",3
